tag,particle,p0mode,method,weight,energy_GeV,nEvents,bias_mu,reso_sigma,bias_err,reso_err,fit_ok
main_p0ridge,gamma,p0ridge,1,0,9,1000,1.004,0.0604999,0.0019326,0.00136725,1
main_p0ridge,gamma,p0ridge,1,0,10,1000,0.999236,0.0581959,0.00185146,0.00130984,1
main_p0ridge,gamma,p0ridge,1,0,20,1000,0.99541,0.0440756,0.00140223,0.00099203,1
main_p0ridge,gamma,p0ridge,1,0,30,1000,0.996426,0.0357238,0.00113768,0.000804868,1
main_p0ridge,gamma,p0ridge,1,0,40,1000,0.998348,0.0311497,0.000992008,0.000701811,1
main_p0ridge,gamma,p0ridge,2,0,1,1000,0.894377,0.150481,0.00482916,0.0034165,1
main_p0ridge,gamma,p0ridge,2,0,3,1000,0.988971,0.0994619,0.00317234,0.00224433,1
main_p0ridge,gamma,p0ridge,2,0,5,1000,1.00294,0.0737993,0.00236468,0.00167294,1
main_p0ridge,gamma,p0ridge,2,0,7,1000,1.00617,0.0699749,0.00223299,0.00157977,1
main_p0ridge,gamma,p0ridge,2,0,9,1000,1.01157,0.0616336,0.00196681,0.00139145,1
main_p0ridge,gamma,p0ridge,2,0,10,1000,1.00829,0.0592449,0.00188293,0.0013321,1
main_p0ridge,gamma,p0ridge,2,0,20,1000,1.0046,0.0440155,0.00140174,0.000991682,1
main_p0ridge,gamma,p0ridge,2,0,30,1000,0.999563,0.0352002,0.001121,0.000793071,1
main_p0ridge,gamma,p0ridge,2,0,40,1000,0.993753,0.0299834,0.000953899,0.00067485,1
main_p0ridge,gamma,p0ridge,0,1,1,1000,1.06027,0.146676,0.00471192,0.00333355,1
main_p0ridge,gamma,p0ridge,0,1,3,1000,1.02764,0.0996302,0.00317126,0.00224356,1
main_p0ridge,gamma,p0ridge,0,1,5,1000,1.01684,0.0746199,0.0023873,0.00168894,1
main_p0ridge,gamma,p0ridge,0,1,7,1000,1.01016,0.0707357,0.00225154,0.00159289,1
main_p0ridge,gamma,p0ridge,0,1,9,1000,1.00932,0.0610365,0.00194875,0.00137867,1
main_p0ridge,gamma,p0ridge,0,1,10,1000,1.00384,0.0584859,0.00186068,0.00131637,1
main_p0ridge,gamma,p0ridge,0,1,20,1000,0.997711,0.0447725,0.00142296,0.0010067,1
main_p0ridge,gamma,p0ridge,0,1,30,1000,0.996951,0.0360369,0.00114765,0.000811922,1
main_p0ridge,gamma,p0ridge,0,1,40,1000,0.998195,0.0313648,0.000997847,0.000705942,1
main_p0ridge,gamma,p0ridge,1,1,1,1000,1.13361,0.148138,0.00480372,0.00339853,1
main_p0ridge,gamma,p0ridge,1,1,3,1000,1.04037,0.10225,0.00326791,0.00231194,1
main_p0ridge,gamma,p0ridge,1,1,5,1000,1.01929,0.0774052,0.00247262,0.0017493,1
main_p0ridge,gamma,p0ridge,1,1,7,1000,1.00938,0.0705784,0.00224768,0.00159015,1
